"","feature_id","feature","feature.description","feature_full","Feature","mean","sd","prev","mean_IND","sd_IND","prev_IND","mean_MLW","sd_MLW","prev_MLW"
"275","p346","PWY-7242","D-fructuronate degradation","D-fructuronate degradation (PWY-7242)","PWY-7242",0.006007,0.005277,88.9,0.005674,0.005153,89.4,0.00763,0.005614,86.2
"262","p334","PWY-7211","superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis","superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (PWY-7211)","PWY-7211",0.005943,0.006551,84.8,0.006288,0.006821,85.5,0.004261,0.004724,81
"116","p202","PWY-5791","no MetaCyc description","no MetaCyc description (PWY-5791)","PWY-5791",0.005902,0.00503,85.9,0.005822,0.005103,85.5,0.006293,0.004682,87.9
"214","p291","PWY-6731","starch degradation III","starch degradation III (PWY-6731)","PWY-6731",0.005854,0.006006,89.1,0.005762,0.006105,88.7,0.006306,0.005523,91.4
"258","p330","PWY-7204","pyridoxal 5'-phosphate salvage II (plants)","pyridoxal 5'-phosphate salvage II (plants) (PWY-7204)","PWY-7204",0.005763,0.005586,82.7,0.005449,0.005515,83,0.007296,0.005723,81
"321","p388","PWY-821","superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)","superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae) (PWY-821)","PWY-821",0.005758,0.004463,89.4,0.005695,0.004514,89.8,0.006066,0.004229,87.9
"34","p129","PWY-241","C4 photosynthetic carbon assimilation cycle, NADP-ME type","C4 photosynthetic carbon assimilation cycle, NADP-ME type (PWY-241)","PWY-241",0.005727,0.006203,86.8,0.00476,0.005478,84.8,0.010447,0.007331,96.6
"436","p80","METHGLYUT-PWY","superpathway of methylglyoxal degradation","superpathway of methylglyoxal degradation (METHGLYUT-PWY)","METHGLYUT-PWY",0.00569,0.005354,93.8,0.005325,0.005221,93.3,0.007472,0.005676,96.6
"51","p144","PWY-5005","biotin biosynthesis II","biotin biosynthesis II (PWY-5005)","PWY-5005",0.005575,0.00892,82.4,0.005719,0.009288,82.3,0.004875,0.006872,82.8
"69","p160","PWY-5180","toluene degradation I (aerobic) (via o-cresol)","toluene degradation I (aerobic) (via o-cresol) (PWY-5180)","PWY-5180",0.005538,0.006161,77.7,0.005785,0.00624,81.3,0.004332,0.005658,60.3
"71","p162","PWY-5182","toluene degradation II (aerobic) (via 4-methylcatechol)","toluene degradation II (aerobic) (via 4-methylcatechol) (PWY-5182)","PWY-5182",0.005538,0.006161,77.7,0.005785,0.00624,81.3,0.004332,0.005658,60.3
"209","p287","PWY-6690","cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate","cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate (PWY-6690)","PWY-6690",0.005491,0.005861,85.6,0.005401,0.005751,85.5,0.00593,0.006402,86.2
"416","p62","HCAMHPDEG-PWY","3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate","3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate (HCAMHPDEG-PWY)","HCAMHPDEG-PWY",0.005491,0.005861,85.6,0.005401,0.005751,85.5,0.00593,0.006402,86.2
"251","p324","PWY-7187","pyrimidine deoxyribonucleotides de novo biosynthesis II","pyrimidine deoxyribonucleotides de novo biosynthesis II (PWY-7187)","PWY-7187",0.005386,0.005032,81.5,0.005173,0.004927,80.9,0.006424,0.005441,84.5
"32","p127","PWY-1861","formaldehyde assimilation II (assimilatory RuMP Cycle)","formaldehyde assimilation II (assimilatory RuMP Cycle) (PWY-1861)","PWY-1861",0.005365,0.007747,80.9,0.004808,0.006909,80.2,0.008079,0.010619,84.5
"194","p273","PWY-6545","pyrimidine deoxyribonucleotides de novo biosynthesis III","pyrimidine deoxyribonucleotides de novo biosynthesis III (PWY-6545)","PWY-6545",0.005141,0.00581,83.9,0.005246,0.005933,84.5,0.004627,0.005179,81
"20","p116","PPGPPMET-PWY","ppGpp metabolism","ppGpp metabolism (PPGPPMET-PWY)","PPGPPMET-PWY",0.005134,0.005325,90.9,0.005277,0.005594,90.5,0.004436,0.003706,93.1
"288","p358","PWY-7315","dTDP-N-acetylthomosamine biosynthesis","dTDP-N-acetylthomosamine biosynthesis (PWY-7315)","PWY-7315",0.005129,0.004799,90.3,0.005178,0.005007,90.5,0.004889,0.003643,89.7
"362","p424","PWY66-389","phytol degradation","phytol degradation (PWY66-389)","PWY66-389",0.005126,0.00598,95.3,0.005078,0.006048,95.1,0.005362,0.005685,96.6
"103","p191","PWY-5676","acetyl-CoA fermentation to butanoate II","acetyl-CoA fermentation to butanoate II (PWY-5676)","PWY-5676",0.0051,0.004857,87.4,0.005124,0.004788,88,0.004983,0.005226,84.5
"305","p373","PWY-7392","taxadiene biosynthesis (engineered)","taxadiene biosynthesis (engineered) (PWY-7392)","PWY-7392",0.005072,0.005315,90,0.004622,0.004644,89.4,0.007266,0.007477,93.1
"80","p170","PWY-5367","petroselinate biosynthesis","petroselinate biosynthesis (PWY-5367)","PWY-5367",0.005037,0.005104,85,0.004987,0.005281,85.2,0.005286,0.004161,84.5
"333","p399","PWY0-1338","polymyxin resistance","polymyxin resistance (PWY0-1338)","PWY0-1338",0.004853,0.004457,87.7,0.004665,0.004438,87.6,0.00577,0.004473,87.9
"225","p300","PWY-6859","all-trans-farnesol biosynthesis","all-trans-farnesol biosynthesis (PWY-6859)","PWY-6859",0.004677,0.003696,98.5,0.004377,0.003385,98.2,0.00614,0.004706,100
"343","p407","PWY0-42","2-methylcitrate cycle I","2-methylcitrate cycle I (PWY0-42)","PWY0-42",0.004617,0.005102,83.9,0.004269,0.004871,83.7,0.006314,0.005858,84.5
"261","p333","PWY-7210","pyrimidine deoxyribonucleotides biosynthesis from CTP","pyrimidine deoxyribonucleotides biosynthesis from CTP (PWY-7210)","PWY-7210",0.004593,0.005934,78.6,0.004884,0.006204,79.5,0.003174,0.004145,74.1
"111","p199","PWY-5747","2-methylcitrate cycle II","2-methylcitrate cycle II (PWY-5747)","PWY-5747",0.004581,0.004921,85.6,0.004282,0.004731,85.5,0.006042,0.005577,86.2
"92","p181","PWY-5497","purine nucleobases degradation II (anaerobic)","purine nucleobases degradation II (anaerobic) (PWY-5497)","PWY-5497",0.004389,0.004169,84.2,0.004115,0.00406,83.7,0.005726,0.004466,86.2
"448","p91","P122-PWY","heterolactic fermentation","heterolactic fermentation (P122-PWY)","P122-PWY",0.00423,0.004133,88.6,0.004203,0.004208,88.7,0.004365,0.003774,87.9
"222","p299","PWY-6823","molybdopterin biosynthesis","molybdopterin biosynthesis (PWY-6823)","PWY-6823",0.003989,0.003617,82.7,0.00392,0.003583,83.4,0.004327,0.003793,79.3
"207","p285","PWY-6630","superpathway of L-tyrosine biosynthesis","superpathway of L-tyrosine biosynthesis (PWY-6630)","PWY-6630",0.003966,0.003865,76.2,0.003838,0.003884,75.3,0.00459,0.003746,81
"98","p187","PWY-5656","mannosylglycerate biosynthesis I","mannosylglycerate biosynthesis I (PWY-5656)","PWY-5656",0.003824,0.004401,82.7,0.003539,0.004213,82,0.005216,0.005036,86.2
"455","p98","P185-PWY","formaldehyde assimilation III (dihydroxyacetone cycle)","formaldehyde assimilation III (dihydroxyacetone cycle) (P185-PWY)","P185-PWY",0.003744,0.007173,78.6,0.00421,0.007695,80.9,0.001466,0.00276,67.2
"199","p278","PWY-6588","pyruvate fermentation to acetone","pyruvate fermentation to acetone (PWY-6588)","PWY-6588",0.003676,0.004393,88.9,0.003283,0.003788,88.7,0.005595,0.006295,89.7
"281","p351","PWY-7269","mitochondrial NADPH production (yeast)","mitochondrial NADPH production (yeast) (PWY-7269)","PWY-7269",0.003583,0.003874,86.2,0.003716,0.004021,86.6,0.002931,0.003,84.5
"5","p102","P42-PWY","incomplete reductive TCA cycle","incomplete reductive TCA cycle (P42-PWY)","P42-PWY",0.003576,0.003547,87.1,0.003434,0.003476,86.6,0.004269,0.003833,89.7
"146","p23","CITRULBIO-PWY","L-citrulline biosynthesis","L-citrulline biosynthesis (CITRULBIO-PWY)","CITRULBIO-PWY",0.00344,0.006986,63.9,0.003002,0.006627,63.3,0.005576,0.008261,67.2
"415","p61","GOLPDLCAT-PWY","superpathway of glycerol degradation to 1,3-propanediol","superpathway of glycerol degradation to 1,3-propanediol (GOLPDLCAT-PWY)","GOLPDLCAT-PWY",0.00338,0.007363,79.2,0.003785,0.007946,80.6,0.001403,0.002498,72.4
"13","p11","ARGININE-SYN4-PWY","L-ornithine biosynthesis II","L-ornithine biosynthesis II (ARGININE-SYN4-PWY)","ARGININE-SYN4-PWY",0.003259,0.006306,67.7,0.002617,0.005081,67.1,0.006389,0.00987,70.7
"300","p369","PWY-7385","1,3-propanediol biosynthesis (engineered)","1,3-propanediol biosynthesis (engineered) (PWY-7385)","PWY-7385",0.003255,0.004354,73.3,0.003248,0.004311,74.9,0.003291,0.004594,65.5
"447","p90","P108-PWY","pyruvate fermentation to propanoate I","pyruvate fermentation to propanoate I (P108-PWY)","P108-PWY",0.003135,0.003374,84.2,0.003085,0.003448,83,0.003379,0.003002,89.7
"279","p35","ECASYN-PWY","enterobacterial common antigen biosynthesis","enterobacterial common antigen biosynthesis (ECASYN-PWY)","ECASYN-PWY",0.003108,0.003259,86.8,0.003129,0.003402,86.6,0.00301,0.002468,87.9
"143","p227","PWY-5994","palmitate biosynthesis (type I fatty acid synthase)","palmitate biosynthesis (type I fatty acid synthase) (PWY-5994)","PWY-5994",0.002983,0.004949,61,0.003129,0.00506,63.6,0.002271,0.004337,48.3
"195","p274","PWY-6549","L-glutamine biosynthesis III","L-glutamine biosynthesis III (PWY-6549)","PWY-6549",0.002958,0.003565,76.8,0.002547,0.003237,74.2,0.004962,0.004367,89.7
"50","p143","PWY-4984","urea cycle","urea cycle (PWY-4984)","PWY-4984",0.002951,0.006021,63.9,0.002579,0.005732,63.3,0.004765,0.007047,67.2
"242","p316","PWY-7094","fatty acid salvage","fatty acid salvage (PWY-7094)","PWY-7094",0.002894,0.003392,81.5,0.002594,0.00309,80.9,0.004353,0.004332,84.5
"351","p414","PWY3DJ-35471","L-ascorbate biosynthesis IV (animals, D-glucuronate pathway)","L-ascorbate biosynthesis IV (animals, D-glucuronate pathway) (PWY3DJ-35471)","PWY3DJ-35471",0.002848,0.006096,58.4,0.0032,0.006548,61.8,0.001132,0.002442,41.4
"432","p77","LPSSYN-PWY","superpathway of lipopolysaccharide biosynthesis","superpathway of lipopolysaccharide biosynthesis (LPSSYN-PWY)","LPSSYN-PWY",0.002704,0.002873,79.2,0.002536,0.002776,78.8,0.003523,0.003207,81
"371","p432","REDCITCYC","TCA cycle VI (Helicobacter)","TCA cycle VI (Helicobacter) (REDCITCYC)","REDCITCYC",0.002683,0.004003,78.3,0.00281,0.004172,78.1,0.002062,0.002999,79.3
"237","p311","PWY-7003","glycerol degradation to butanol","glycerol degradation to butanol (PWY-7003)","PWY-7003",0.002661,0.00396,69.5,0.002879,0.004006,72.4,0.001596,0.003573,55.2
"456","p99","P221-PWY","octane oxidation","octane oxidation (P221-PWY)","P221-PWY",0.002568,0.003633,90.3,0.002681,0.003857,90.5,0.002015,0.002179,89.7
"385","p445","THREOCAT-PWY","superpathway of L-threonine metabolism","superpathway of L-threonine metabolism (THREOCAT-PWY)","THREOCAT-PWY",0.002466,0.004041,59.2,0.002693,0.004195,61.8,0.001356,0.002967,46.6
"453","p96","P164-PWY","purine nucleobases degradation I (anaerobic)","purine nucleobases degradation I (anaerobic) (P164-PWY)","P164-PWY",0.002443,0.004302,50.7,0.002414,0.004334,50.9,0.002587,0.004172,50
"299","p368","PWY-7384","anaerobic energy metabolism (invertebrates, mitochondrial)","anaerobic energy metabolism (invertebrates, mitochondrial) (PWY-7384)","PWY-7384",0.002441,0.002858,72.4,0.002353,0.002847,71.7,0.002868,0.002899,75.9
"391","p450","UBISYN-PWY","superpathway of ubiquinol-8 biosynthesis (early decarboxylation)","superpathway of ubiquinol-8 biosynthesis (early decarboxylation) (UBISYN-PWY)","UBISYN-PWY",0.002405,0.002497,86.2,0.002324,0.002497,86.6,0.002798,0.002483,84.5
"311","p379","PWY-7446","sulfoquinovose degradation I","sulfoquinovose degradation I (PWY-7446)","PWY-7446",0.002373,0.002597,80.1,0.002264,0.002558,80.2,0.002903,0.002737,79.3
"129","p214","PWY-5863","superpathway of phylloquinol biosynthesis","superpathway of phylloquinol biosynthesis (PWY-5863)","PWY-5863",0.002346,0.002747,78.6,0.002305,0.002814,77.7,0.002548,0.002408,82.8
"405","p52","GLUDEG-I-PWY","GABA shunt","GABA shunt (GLUDEG-I-PWY)","GLUDEG-I-PWY",0.002342,0.003013,84.8,0.002068,0.002569,84.8,0.003679,0.004396,84.5
"213","p290","PWY-6708","ubiquinol-8 biosynthesis (early decarboxylation)","ubiquinol-8 biosynthesis (early decarboxylation) (PWY-6708)","PWY-6708",0.002164,0.002273,86.5,0.002092,0.002271,86.9,0.002513,0.002271,84.5
"260","p332","PWY-7209","superpathway of pyrimidine ribonucleosides degradation","superpathway of pyrimidine ribonucleosides degradation (PWY-7209)","PWY-7209",0.002135,0.002675,82.7,0.00206,0.002552,82,0.002503,0.003211,86.2
"122","p208","PWY-5855","ubiquinol-7 biosynthesis (early decarboxylation)","ubiquinol-7 biosynthesis (early decarboxylation) (PWY-5855)","PWY-5855",0.002116,0.002264,86.5,0.00205,0.002265,86.9,0.002443,0.002251,84.5
"123","p209","PWY-5856","ubiquinol-9 biosynthesis (early decarboxylation)","ubiquinol-9 biosynthesis (early decarboxylation) (PWY-5856)","PWY-5856",0.002116,0.002264,86.5,0.00205,0.002265,86.9,0.002443,0.002251,84.5
"125","p210","PWY-5857","ubiquinol-10 biosynthesis (early decarboxylation)","ubiquinol-10 biosynthesis (early decarboxylation) (PWY-5857)","PWY-5857",0.002116,0.002264,86.5,0.00205,0.002265,86.9,0.002443,0.002251,84.5
"324","p390","PWY-922","mevalonate pathway I (eukaryotes and bacteria)","mevalonate pathway I (eukaryotes and bacteria) (PWY-922)","PWY-922",0.002053,0.002714,81.8,0.002023,0.00244,85.9,0.002198,0.003802,62.1
"427","p72","KDO-NAGLIPASYN-PWY","superpathway of (Kdo)2-lipid A biosynthesis","superpathway of (Kdo)2-lipid A biosynthesis (KDO-NAGLIPASYN-PWY)","KDO-NAGLIPASYN-PWY",0.002024,0.002184,82.1,0.001912,0.002135,81.6,0.002571,0.002355,84.5
"382","p442","TEICHOICACID-PWY","poly(glycerol phosphate) wall teichoic acid biosynthesis","poly(glycerol phosphate) wall teichoic acid biosynthesis (TEICHOICACID-PWY)","TEICHOICACID-PWY",0.002017,0.003255,76.8,0.001775,0.002921,76,0.003201,0.004388,81
"109","p197","PWY-5705","allantoin degradation to glyoxylate III","allantoin degradation to glyoxylate III (PWY-5705)","PWY-5705",0.001942,0.002021,80.6,0.00183,0.001955,80.6,0.002489,0.002252,81
"89","p179","PWY-5464","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle (PWY-5464)","PWY-5464",0.001902,0.003711,46.6,0.001827,0.003507,46.6,0.002272,0.004596,46.6
"409","p56","GLYCOL-GLYOXDEG-PWY","superpathway of glycol metabolism and degradation","superpathway of glycol metabolism and degradation (GLYCOL-GLYOXDEG-PWY)","GLYCOL-GLYOXDEG-PWY",0.001896,0.002012,86.8,0.001889,0.002055,86.9,0.001931,0.001801,86.2
"450","p93","P125-PWY","superpathway of (R,R)-butanediol biosynthesis","superpathway of (R,R)-butanediol biosynthesis (P125-PWY)","P125-PWY",0.001833,0.003781,82.4,0.001692,0.003359,83.4,0.002521,0.005374,77.6
"52","p145","PWY-5022","4-aminobutanoate degradation V","4-aminobutanoate degradation V (PWY-5022)","PWY-5022",0.001819,0.00278,78.9,0.001523,0.002359,77.7,0.003263,0.004001,84.5
"54","p147","PWY-5030","L-histidine degradation III","L-histidine degradation III (PWY-5030)","PWY-5030",0.001749,0.004327,45.5,0.001122,0.00319,41,0.004808,0.007062,67.2
"364","p426","PWY66-399","gluconeogenesis III","gluconeogenesis III (PWY66-399)","PWY66-399",0.001687,0.003082,50.4,0.0015,0.002875,47.7,0.002604,0.003838,63.8
"185","p265","PWY-6470","peptidoglycan biosynthesis V (&beta;-lactam resistance)","peptidoglycan biosynthesis V (beta-lactam resistance) (PWY-6470)","PWY-6470",0.001667,0.004213,38.7,0.001694,0.004361,38.9,0.001533,0.00343,37.9
"342","p406","PWY0-41","allantoin degradation IV (anaerobic)","allantoin degradation IV (anaerobic) (PWY0-41)","PWY0-41",0.001651,0.001812,79.5,0.001576,0.001805,79.2,0.002013,0.001821,81
"298","p367","PWY-7383","anaerobic energy metabolism (invertebrates, cytosol)","anaerobic energy metabolism (invertebrates, cytosol) (PWY-7383)","PWY-7383",0.001635,0.003279,54.8,0.001431,0.002973,52.3,0.002631,0.004381,67.2
"44","p138","PWY-4321","L-glutamate degradation IV","L-glutamate degradation IV (PWY-4321)","PWY-4321",0.001553,0.002074,74.5,0.001628,0.002133,75.6,0.001186,0.001727,69
"83","p173","PWY-5415","catechol degradation I (meta-cleavage pathway)","catechol degradation I (meta-cleavage pathway) (PWY-5415)","PWY-5415",0.001537,0.001951,79.8,0.001642,0.002031,83,0.001026,0.001401,63.8
"308","p376","PWY-7409","phospholipid remodeling (phosphatidylethanolamine, yeast)","phospholipid remodeling (phosphatidylethanolamine, yeast) (PWY-7409)","PWY-7409",0.001503,0.001837,69.5,0.001483,0.00185,69.3,0.001604,0.001787,70.7
"22","p118","PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY","protocatechuate degradation II (ortho-cleavage pathway)","protocatechuate degradation II (ortho-cleavage pathway) (PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY)","PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY",0.001499,0.003663,58.1,0.001711,0.003948,62.2,0.000464,0.001265,37.9
"70","p161","PWY-5181","toluene degradation III (aerobic) (via p-cresol)","toluene degradation III (aerobic) (via p-cresol) (PWY-5181)","PWY-5181",0.001487,0.00379,45.7,0.001709,0.004089,48.8,4e-04,0.001226,31
"136","p220","PWY-5910","superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)","superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate) (PWY-5910)","PWY-5910",0.001484,0.001832,78,0.001451,0.001532,81.6,0.001643,0.002894,60.3
"249","p322","PWY-7165","L-ascorbate biosynthesis VIII (engineered pathway)","L-ascorbate biosynthesis VIII (engineered pathway) (PWY-7165)","PWY-7165",0.001346,0.002734,49.9,0.001465,0.002873,52.7,0.000764,0.001828,36.2
"84","p174","PWY-5417","catechol degradation III (ortho-cleavage pathway)","catechol degradation III (ortho-cleavage pathway) (PWY-5417)","PWY-5417",0.001237,0.003077,51.6,0.001401,0.003314,54.8,0.000438,0.001166,36.2
"88","p178","PWY-5431","aromatic compounds degradation via &beta;-ketoadipate","aromatic compounds degradation via beta-ketoadipate (PWY-5431)","PWY-5431",0.001237,0.003077,51.6,0.001401,0.003314,54.8,0.000438,0.001166,36.2
"93","p182","PWY-5505","L-glutamate and L-glutamine biosynthesis","L-glutamate and L-glutamine biosynthesis (PWY-5505)","PWY-5505",0.001233,0.001827,67.4,0.001077,0.001688,65.7,0.001994,0.002262,75.9
"313","p380","PWY-7456","&beta;-(1,4)-mannan degradation","beta-(1,4)-mannan degradation (PWY-7456)","PWY-7456",0.001194,0.002795,24,0.000792,0.002097,19.1,0.003159,0.004485,48.3
"161","p243","PWY-6185","4-methylcatechol degradation (ortho cleavage)","4-methylcatechol degradation (ortho cleavage) (PWY-6185)","PWY-6185",0.001153,0.002923,45.7,0.001306,0.00315,47.7,0.000407,0.001089,36.2
"256","p329","PWY-7200","superpathway of pyrimidine deoxyribonucleoside salvage","superpathway of pyrimidine deoxyribonucleoside salvage (PWY-7200)","PWY-7200",0.001132,0.002702,39,0.001097,0.002666,38.5,0.001299,0.002894,41.4
"338","p402","PWY0-1533","methylphosphonate degradation I","methylphosphonate degradation I (PWY0-1533)","PWY0-1533",0.001101,0.001517,75.1,0.001035,0.001449,74.6,0.001423,0.00179,77.6
"160","p242","PWY-6182","superpathway of salicylate degradation","superpathway of salicylate degradation (PWY-6182)","PWY-6182",0.001074,0.002748,47.5,0.001226,0.002965,50.2,0.00033,0.000924,34.5
"294","p363","PWY-7332","superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis","superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis (PWY-7332)","PWY-7332",0.001065,0.004133,10.6,0.000937,0.003959,8.8,0.001686,0.004885,19
"402","p5","AEROBACTINSYN-PWY","aerobactin biosynthesis","aerobactin biosynthesis (AEROBACTINSYN-PWY)","AEROBACTINSYN-PWY",0.001057,0.002288,45.7,0.000831,0.001994,42.4,0.002162,0.003174,62.1
"107","p195","PWY-5692","allantoin degradation to glyoxylate II","allantoin degradation to glyoxylate II (PWY-5692)","PWY-5692",0.000999,0.001199,76.8,0.000976,0.001214,76,0.001114,0.001125,81
"394","p453","URDEGR-PWY","superpathway of allantoin degradation in plants","superpathway of allantoin degradation in plants (URDEGR-PWY)","URDEGR-PWY",0.000999,0.001199,76.8,0.000976,0.001214,76,0.001114,0.001125,81
"124","p21","CATECHOL-ORTHO-CLEAVAGE-PWY","catechol degradation to &beta;-ketoadipate","catechol degradation to beta-ketoadipate (CATECHOL-ORTHO-CLEAVAGE-PWY)","CATECHOL-ORTHO-CLEAVAGE-PWY",0.000979,0.002432,53.4,0.001107,0.002619,56.9,0.000355,0.00093,36.2
"24","p12","ARGORNPROST-PWY","no MetaCyc description","no MetaCyc description (ARGORNPROST-PWY)","ARGORNPROST-PWY",0.000753,0.001636,45.7,0.000705,0.001387,47,0.000988,0.002526,39.7
"247","p320","PWY-7118","chitin deacetylation","chitin deacetylation (PWY-7118)","PWY-7118",0.000745,0.001816,48.1,0.000854,0.001945,53.4,0.000213,0.000776,22.4
"289","p359","PWY-7316","dTDP-N-acetylviosamine biosynthesis","dTDP-N-acetylviosamine biosynthesis (PWY-7316)","PWY-7316",0.000735,0.003379,13.2,0.000597,0.003205,11.3,0.001409,0.004089,22.4
"303","p371","PWY-7389","superpathway of anaerobic energy metabolism (invertebrates)","superpathway of anaerobic energy metabolism (invertebrates) (PWY-7389)","PWY-7389",0.000693,0.001424,39,0.000623,0.001323,37.5,0.001032,0.001812,46.6
"217","p294","PWY-6749","CMP-legionaminate biosynthesis I","CMP-legionaminate biosynthesis I (PWY-6749)","PWY-6749",0.000681,0.002803,20.2,0.000659,0.002854,19.1,0.000784,0.002562,25.9
"182","p262","PWY-6396","superpathway of 2,3-butanediol biosynthesis","superpathway of 2,3-butanediol biosynthesis (PWY-6396)","PWY-6396",0.000645,0.002015,32.3,0.000722,0.002177,34.6,0.000268,0.000765,20.7
"67","p159","PWY-5178","toluene degradation IV (aerobic) (via catechol)","toluene degradation IV (aerobic) (via catechol) (PWY-5178)","PWY-5178",0.000607,0.001275,47.5,0.000693,0.001365,51.9,0.000187,0.000517,25.9
"9","p106","P621-PWY","nylon-6 oligomer degradation","nylon-6 oligomer degradation (P621-PWY)","P621-PWY",0.000592,0.00119,53.7,0.000657,0.001268,56.9,0.000275,0.000607,37.9
"374","p435","RUMP-PWY","formaldehyde oxidation I","formaldehyde oxidation I (RUMP-PWY)","RUMP-PWY",0.000589,0.001417,45.5,0.000592,0.001435,44.9,0.000577,0.001336,48.3
"29","p124","PWY-1541","superpathway of taurine degradation","superpathway of taurine degradation (PWY-1541)","PWY-1541",0.000561,0.001622,34,0.000656,0.001753,38.2,9.5e-05,0.000484,13.8
"53","p146","PWY-5028","L-histidine degradation II","L-histidine degradation II (PWY-5028)","PWY-5028",0.000541,0.002334,25.8,0.000617,0.002546,27.2,0.000167,0.000507,19
"395","p454","URSIN-PWY","ureide biosynthesis","ureide biosynthesis (URSIN-PWY)","URSIN-PWY",0.000526,0.001363,34.9,0.000615,0.001475,38.5,9.3e-05,0.000304,17.2
"200","p279","PWY-6590","superpathway of Clostridium acetobutylicum acidogenic fermentation","superpathway of Clostridium acetobutylicum acidogenic fermentation (PWY-6590)","PWY-6590",0.000519,0.001539,23.8,0.000477,0.001438,23.7,0.000726,0.00196,24.1
"318","p385","PWY-7616","methanol oxidation to carbon dioxide","methanol oxidation to carbon dioxide (PWY-7616)","PWY-7616",0.000479,0.000847,60.4,0.000524,0.000898,61.8,0.000261,0.000487,53.4
"56","p149","PWY-5088","L-glutamate degradation VIII (to propanoate)","L-glutamate degradation VIII (to propanoate) (PWY-5088)","PWY-5088",0.000438,0.001214,29.3,0.000426,0.001226,29,0.000496,0.001165,31
"135","p22","CENTFERM-PWY","pyruvate fermentation to butanoate","pyruvate fermentation to butanoate (CENTFERM-PWY)","CENTFERM-PWY",0.000416,0.001248,23.8,0.000381,0.001165,23.7,0.000585,0.001594,24.1
"392","p451","UDPNACETYLGALSYN-PWY","UDP-N-acetyl-D-glucosamine biosynthesis II","UDP-N-acetyl-D-glucosamine biosynthesis II (UDPNACETYLGALSYN-PWY)","UDPNACETYLGALSYN-PWY",0.000414,0.0014,31.7,0.000437,0.001435,33.9,0.000303,0.001221,20.7
"363","p425","PWY66-398","TCA cycle III (animals)","TCA cycle III (animals) (PWY66-398)","PWY66-398",0.000408,0.00142,17.9,0.000471,0.001547,19.1,9.8e-05,0.00029,12.1
"280","p350","PWY-7268","cytosolic NADPH production (yeast)","cytosolic NADPH production (yeast) (PWY-7268)","PWY-7268",0.000355,0.001553,17.9,0.000327,0.001583,16.3,0.00049,0.001407,25.9
"3","p100","P23-PWY","reductive TCA cycle I","reductive TCA cycle I (P23-PWY)","P23-PWY",0.000342,0.001176,25.5,0.000351,0.001165,25.1,0.000301,0.001242,27.6
"240","p314","PWY-7039","phosphatidate metabolism, as a signaling molecule","phosphatidate metabolism, as a signaling molecule (PWY-7039)","PWY-7039",0.00033,0.001016,26.4,0.00036,0.001053,28.6,0.000183,0.000803,15.5
"334","p4","3-HYDROXYPHENYLACETATE-DEGRADATION-PWY","4-hydroxyphenylacetate degradation","4-hydroxyphenylacetate degradation (3-HYDROXYPHENYLACETATE-DEGRADATION-PWY)","3-HYDROXYPHENYLACETATE-DEGRADATION-PWY",0.000314,0.001096,43.1,0.000357,0.001196,44.9,0.000103,0.000208,34.5
"276","p347","PWY-7245","superpathway of NAD/NADP - NADH/NADPH interconversion (yeast)","superpathway of NAD/NADP - NADH/NADPH interconversion (yeast) (PWY-7245)","PWY-7245",0.000301,0.00115,17.9,0.000276,0.001129,16.3,0.000423,0.001247,25.9
"8","p105","P562-PWY","myo-inositol degradation I","myo-inositol degradation I (P562-PWY)","P562-PWY",3e-04,0.001057,22,0.000316,0.001037,24,0.000222,0.001153,12.1
"304","p372","PWY-7391","isoprene biosynthesis II (engineered)","isoprene biosynthesis II (engineered) (PWY-7391)","PWY-7391",0.000285,0.000795,28.7,0.000299,0.000733,32.5,0.000218,0.001051,10.3
"413","p6","ALLANTOINDEG-PWY","superpathway of allantoin degradation in yeast","superpathway of allantoin degradation in yeast (ALLANTOINDEG-PWY)","ALLANTOINDEG-PWY",0.000266,0.00075,30.5,0.000257,0.000732,30.4,0.00031,0.00084,31
"163","p245","PWY-6215","4-chlorobenzoate degradation","4-chlorobenzoate degradation (PWY-6215)","PWY-6215",0.000251,0.000474,49,0.000266,0.000474,50.9,0.000179,0.000471,39.7
"176","p257","PWY-6318","L-phenylalanine degradation IV (mammalian, via side chain)","L-phenylalanine degradation IV (mammalian, via side chain) (PWY-6318)","PWY-6318",0.00025,0.000441,50.4,0.00026,0.00045,53,2e-04,0.000397,37.9
