feature_id	feature	feature description	feature_full
p434	RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)	flavin_biosynthesis_I_(bacteria_and_plants)_(RIBOSYN2-PWY)
p435	RUMP-PWY	formaldehyde oxidation I	formaldehyde_oxidation_I_(RUMP-PWY)
p436	SALVADEHYPOX-PWY	adenosine nucleotides degradation II	adenosine_nucleotides_degradation_II_(SALVADEHYPOX-PWY)
p437	SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	superpathway_of_L-serine_and_glycine_biosynthesis_I_(SER-GLYSYN-PWY)
p438	SO4ASSIM-PWY	assimilatory sulfate reduction I	assimilatory_sulfate_reduction_I_(SO4ASSIM-PWY)
p439	SULFATE-CYS-PWY	superpathway of sulfate assimilation and cysteine biosynthesis	superpathway_of_sulfate_assimilation_and_cysteine_biosynthesis_(SULFATE-CYS-PWY)
p440	TCA-GLYOX-BYPASS	superpathway of glyoxylate bypass and TCA	superpathway_of_glyoxylate_bypass_and_TCA_(TCA-GLYOX-BYPASS)
p441	TCA	TCA cycle I (prokaryotic)	TCA_cycle_I_(prokaryotic)_(TCA)
p442	TEICHOICACID-PWY	poly(glycerol phosphate) wall teichoic acid biosynthesis	poly(glycerol_phosphate)_wall_teichoic_acid_biosynthesis_(TEICHOICACID-PWY)
p443	THISYN-PWY	superpathway of thiamine diphosphate biosynthesis I	superpathway_of_thiamine_diphosphate_biosynthesis_I_(THISYN-PWY)
p444	THISYNARA-PWY	superpathway of thiamine diphosphate biosynthesis III (eukaryotes)	superpathway_of_thiamine_diphosphate_biosynthesis_III_(eukaryotes)_(THISYNARA-PWY)
p445	THREOCAT-PWY	superpathway of L-threonine metabolism	superpathway_of_L-threonine_metabolism_(THREOCAT-PWY)
p446	THRESYN-PWY	superpathway of L-threonine biosynthesis	superpathway_of_L-threonine_biosynthesis_(THRESYN-PWY)
p447	TRNA-CHARGING-PWY	tRNA charging	tRNA_charging_(TRNA-CHARGING-PWY)
p448	TRPSYN-PWY	L-tryptophan biosynthesis	L-tryptophan_biosynthesis_(TRPSYN-PWY)
p449	TYRFUMCAT-PWY	L-tyrosine degradation I	L-tyrosine_degradation_I_(TYRFUMCAT-PWY)
p450	UBISYN-PWY	superpathway of ubiquinol-8 biosynthesis (early decarboxylation)	superpathway_of_ubiquinol-8_biosynthesis_(early_decarboxylation)_(UBISYN-PWY)
p451	UDPNACETYLGALSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis II	UDP-N-acetyl-D-glucosamine_biosynthesis_II_(UDPNACETYLGALSYN-PWY)
p452	UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I	UDP-N-acetyl-D-glucosamine_biosynthesis_I_(UDPNAGSYN-PWY)
p453	URDEGR-PWY	superpathway of allantoin degradation in plants	superpathway_of_allantoin_degradation_in_plants_(URDEGR-PWY)
p454	URSIN-PWY	ureide biosynthesis	ureide_biosynthesis_(URSIN-PWY)
p455	VALDEG-PWY	L-valine degradation I	L-valine_degradation_I_(VALDEG-PWY)
p456	VALSYN-PWY	L-valine biosynthesis	L-valine_biosynthesis_(VALSYN-PWY)
